Generation,Cohesion,Alignment,Separation,Fitness
14,71.66361599999999,0.16357785600000002,0.2831155200000001,0.9215415192082289
14,38.220595200000005,0.13086228480000003,0.5096079360000001,0.4639014432212794
14,57.3308928,0.08724152320000003,0.3397386240000001,0.2233766172541071
14,47.775744,0.16357785600000002,0.4246732800000001,0.06679153002096115
15,45.864714240000005,0.06979321856000002,0.4076863488000001,0.9997102203416008
15,20.384317440000007,0.10468982784000003,0.1811939328000001,0.9996301522043703
15,30.576476160000006,0.10468982784000004,0.1811939328000001,0.9992835589526691
15,38.220595200000005,0.08724152320000003,0.5096079360000001,0.9992360606984232
15,45.864714240000005,0.06979321856000002,0.2717908992000001,0.9991139181502238
15,38.220595200000005,0.08724152320000003,0.2264924160000001,0.9987492992885587
15,38.220595200000005,0.08724152320000003,0.3397386240000001,0.9985096704563415
15,71.66361599999999,0.10905190400000003,0.4246732800000001,0.9984962021199267
15,47.775744,0.10905190400000003,0.4246732800000001,0.9980291835189032
15,30.576476160000006,0.10468982784000004,0.4076863488000001,0.9979603769939243
15,30.576476160000006,0.06979321856000002,0.2717908992000001,0.9978150329134775
15,59.71968,0.13631488000000003,0.3538944000000001,0.9977115000579958
15,30.57647616000001,0.10468982784000003,0.1811939328000001,0.9973090203425833
15,45.864714240000005,0.10468982784000004,0.2717908992000001,0.9953384710209724
15,38.220595200000005,0.13086228480000003,0.5096079360000001,0.993275781757773
15,20.384317440000007,0.10468982784000003,0.2717908992000001,0.9910372193881101
15,25.48039680000001,0.13086228480000003,0.2264924160000001,0.962415483383417
15,57.3308928,0.13086228480000003,0.5096079360000001,0.8773439236522833
15,47.775744,0.10905190400000003,0.2831155200000001,0.4804329787802286
15,47.775744,0.10905190400000003,0.2831155200000001,0.4554737300185259
16,55.037657088,0.05583457484800002,0.3261490790400001,0.9997886943774585
16,45.864714240000005,0.06979321856000002,0.2717908992000001,0.999372492621013
16,45.864714240000005,0.06979321856000002,0.4076863488000001,0.9993406133677222
16,38.220595200000005,0.08724152320000003,0.5096079360000001,0.9991707237356572
16,36.69177139200001,0.08375186227200004,0.2174327193600001,0.999139909220633
16,36.69177139200001,0.05583457484800002,0.4892236185600001,0.9991304145925288
16,20.384317440000007,0.10468982784000003,0.1811939328000001,0.9989271003601772
16,30.576476160000006,0.10468982784000004,0.4076863488000001,0.9987696741110353
16,30.576476160000006,0.10468982784000004,0.1811939328000001,0.9984783506227772
16,24.461180928000008,0.08375186227200003,0.2174327193600001,0.9982078049304647
16,16.307453952000007,0.08375186227200003,0.2174327193600001,0.9981785876338115
16,55.037657088,0.05583457484800002,0.4892236185600001,0.9974969992246899
16,30.576476160000006,0.10468982784000004,0.4076863488000001,0.9974326039774389
16,30.576476160000006,0.06979321856000002,0.6115295232000001,0.993925592782652
16,24.461180928000005,0.08375186227200004,0.2174327193600001,0.9931167627080957
16,36.69177139200001,0.12562779340800004,0.2174327193600001,0.9814940517499957
16,55.037657088,0.08375186227200003,0.21743271936000008,0.9792091577804868
16,55.037657088,0.08375186227200003,0.21743271936000008,0.9714254246941736
16,55.037657088,0.08375186227200003,0.4892236185600001,0.7329971898691894
16,16.307453952000007,0.08375186227200003,0.2174327193600001,0.5990170151692106
17,45.864714240000005,0.06979321856000002,0.2717908992000001,0.9997854912996621
17,45.864714240000005,0.06979321856000002,0.4076863488000001,0.9997147566112164
17,55.037657088,0.05583457484800002,0.3261490790400001,0.999273262116314
17,45.864714240000005,0.06979321856000002,0.6115295232000001,0.9992267256322493
17,55.037657088,0.08375186227200003,0.3261490790400001,0.9990514245633819
17,45.864714240000005,0.10468982784000004,0.4076863488000001,0.9986215609308106
17,55.037657088,0.05583457484800002,0.3261490790400001,0.9981943092729412
17,44.030125670400004,0.04466765987840002,0.2609192632320001,0.9977966246894823
17,66.0451885056,0.06700148981760003,0.39137889484800015,0.9975035253199996
17,36.69177139200001,0.08375186227200004,0.2174327193600001,0.9974543633972982
17,44.030125670400004,0.06700148981760004,0.2609192632320001,0.9969258826696289
17,36.69177139200001,0.05583457484800002,0.21743271936000008,0.9962578054638026
17,38.220595200000005,0.08724152320000003,0.5096079360000001,0.9959474513245404
17,45.864714240000005,0.06979321856000002,0.4076863488000001,0.9933821323959813
17,36.69177139200001,0.08375186227200003,0.4892236185600001,0.956659431830725
17,44.030125670400004,0.06700148981760004,0.1739461754880001,0.9509244843944751
17,55.037657088,0.05583457484800002,0.21743271936000008,0.9137754871374956
17,44.030125670400004,0.06700148981760004,0.1739461754880001,0.9050597979410671
17,44.030125670400004,0.04466765987840002,0.39137889484800015,0.4628827718814356
17,55.037657088,0.08375186227200003,0.4892236185600001,0.19649323544927444
18,55.037657088,0.05583457484800002,0.3261490790400001,0.9997062724470579
18,45.864714240000005,0.06979321856000002,0.2717908992000001,0.9996485460347283
18,44.030125670400004,0.04466765987840002,0.39137889484800015,0.9996261669968104
18,55.037657088,0.08375186227200003,0.3261490790400001,0.9995892953471579
18,55.037657088,0.08375186227200003,0.3261490790400001,0.9995408382481048
18,66.0451885056,0.04466765987840002,0.39137889484800015,0.9993734782338523
18,44.030125670400004,0.04466765987840002,0.2609192632320001,0.9993477159883831
18,55.037657088,0.05583457484800002,0.3261490790400001,0.9991621381164505
18,44.030125670400004,0.06700148981760003,0.39137889484800015,0.9991112586116063
18,45.864714240000005,0.06979321856000002,0.4076863488000001,0.9990485127425427
18,55.037657088,0.05583457484800002,0.4892236185600001,0.9980928824932241
18,44.030125670400004,0.10050223472640003,0.39137889484800015,0.9971321050314536
18,44.030125670400004,0.06700148981760003,0.2609192632320001,0.9970874684993708
18,36.69177139200001,0.08375186227200003,0.4892236185600001,0.9959134859552455
18,45.864714240000005,0.06979321856000002,0.6115295232000001,0.9947618653025658
18,36.69177139200001,0.08375186227200003,0.7338354278400001,0.9877518459583798
18,36.69177139200001,0.05583457484800002,0.21743271936000008,0.984549131131686
18,55.037657088,0.05583457484800002,0.3261490790400001,0.9622880659947625
18,55.037657088,0.08375186227200003,0.3261490790400001,0.2713962179706551
18,55.037657088,0.05583457484800002,0.7338354278400001,0.0713605636565669
19,44.030125670400004,0.04466765987840002,0.39137889484800015,0.9998564809456425
19,55.037657088,0.05583457484800002,0.3261490790400001,0.9998135268615252
19,44.030125670400004,0.06700148981760003,0.39137889484800015,0.9996620141149931
19,55.037657088,0.08375186227200003,0.3261490790400001,0.999532624049741
19,66.0451885056,0.04466765987840002,0.39137889484800015,0.9994830102704712
19,55.037657088,0.08375186227200003,0.3261490790400001,0.99936483872231
19,45.864714240000005,0.06979321856000002,0.2717908992000001,0.9992543640670852
19,66.0451885056,0.10050223472640003,0.39137889484800015,0.9991264696462011
19,52.836150804480006,0.05360119185408002,0.4696546738176002,0.9987861405758984
19,44.030125670400004,0.06700148981760003,0.2609192632320001,0.9987097871773081
19,44.030125670400004,0.06700148981760003,0.2609192632320001,0.9986453222662154
19,36.69177139200001,0.08375186227200003,0.21743271936000008,0.9982097210099868
19,44.030125670400004,0.06700148981760003,0.2609192632320001,0.9973965228337768
19,44.030125670400004,0.10050223472640003,0.39137889484800015,0.9905983698798261
19,52.836150804480006,0.05360119185408002,0.4696546738176002,0.9889949773166025
19,36.69177139200001,0.08375186227200003,0.3261490790400001,0.988570338253691
19,66.0451885056,0.04466765987840002,0.39137889484800015,0.9710337585969061
19,35.22410053632,0.035734127902720014,0.3131031158784001,0.9494857275106218
19,44.030125670400004,0.04466765987840002,0.2609192632320001,0.9024729104149553
